id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
49034623,Central & New Nordic CPH Apartment,395451254,Kim,Vesterbro-Kongens Enghave,55.66358,12.53795,Entire home/apt,1230.0,2,46,2023-05-02,0.86,1,84,0
49042207,"Spacious, stylist flat in CPH",16128900,Mikkel,Vesterbro-Kongens Enghave,55.66379,12.54253,Entire home/apt,952.0,3,3,2025-08-25,1.34,1,6,3
49054092,Cosy apartment  in the heart of Copenhagen,64999676,Kenneth,Vesterbro-Kongens Enghave,55.66812,12.55529,Entire home/apt,1019.0,3,79,2025-07-18,1.48,1,2,15
49059143,***** star luxery apartment with designer interior,81051715,Silas,Indre By,55.67833,12.58093,Entire home/apt,2013.0,30,0,No reviews,0.0,1,89,0
49066108,Centrally located modern apartment,16001593,Phil,Amager Vest,55.66731,12.58171,Entire home/apt,1233.0,7,3,2025-01-01,0.13,1,8,1
49126131,Bo i hjertet af København tæt på vandet,153205830,Nicolai,Østerbro,55.70402,12.59008,Entire home/apt,1629.0,4,8,2025-08-17,0.16,1,240,2
49128447,Smuk nyrenoveret københavnerlejlighed i indre by,396237405,Frederikke,Indre By,55.68703,12.5918,Entire home/apt,1510.0,6,22,2024-11-24,0.43,1,42,1
49142404,I hjertet <3 af Vesterbro,186236747,Astrid,Vesterbro-Kongens Enghave,55.6703656014984,12.561152284473131,Entire home/apt,1319.0,2,8,2025-06-22,0.21,1,363,1
49153174,★100m2 Apartment / huge balcony / 1min from metro,368283167,Kristian,Amager Øst,55.6608277363966,12.608867415574968,Entire home/apt,1632.0,3,13,2024-01-01,0.27,1,178,0
49207523,Lækker lys lejlighed med altan og sol hele dagen.,276565980,Peter,Vesterbro-Kongens Enghave,55.66468,12.55347,Entire home/apt,5000.0,2,13,2023-09-09,0.24,1,178,0
49219140,Lejlighed midt i Kbh - perfekt for familier!,32601047,Amanda,Indre By,55.67675,12.59981,Entire home/apt,1610.0,4,3,2025-08-10,0.06,1,12,1
49220882,Amager strandvej - close to the beach (1453/1),187610263,ApartmentinCopenhagen,Amager Øst,55.66468,12.62695,Entire home/apt,1608.0,1,22,2025-08-18,0.43,227,0,3
49236934,Beach gardens 1BR by Daniel&Jacob's,244829847,Daniel And Jacobs Apartments,Amager Øst,55.66822,12.62685,Entire home/apt,1338.0,1,149,2025-09-04,2.76,45,354,25
49243426,Bright apartment very close to water and nature,92935344,Morten,Amager Vest,55.6614,12.57052,Entire home/apt,1495.0,7,21,2025-09-28,0.41,1,56,9
49251563,Charming bright room in the vibrant Nørrebro,12454263,Artist,Nørrebro,55.69819,12.55055,Private room,568.0,7,25,2025-04-30,0.5,5,31,1
49264866,Historic house & lush hidden garden in city center,5638714,Engelina,Indre By,55.679874420166016,12.56805419921875,Entire home/apt,1949.0,1,236,2025-09-28,4.54,1,259,58
49286470,"Lys 3 værelses lejlighed på Amager, tæt på metroen",34372528,Gerda,Amager Øst,55.66365,12.60749,Entire home/apt,900.0,2,172,2025-09-20,3.32,1,150,48
49353149,Lys lejlighed med stor altan tæt ved metro,35889966,Jesper,Østerbro,55.70972,12.59404,Entire home/apt,1000.0,4,6,2025-09-15,0.12,1,320,3
49386688,LuxuryApartment Copenhagen Christianshavn/Nyhavn.,381339642,Anders,Indre By,55.67185,12.59168,Entire home/apt,2221.0,7,2,2022-08-08,0.04,2,351,0
49421353,"Central, charming apartment next to metro",42995977,Lorenzo,Østerbro,55.70974,12.58005,Entire home/apt,1093.0,5,5,2023-07-12,0.13,1,173,0
49421682,"Byhus/bondegård fra 1733, 350 m. fra City Center",370612099,Esben,Indre By,55.68049,12.56905,Entire home/apt,2529.0,4,25,2025-08-10,0.49,1,60,6
49434289,Central and spacious apt in the best neighborhood,1755030,Anna,Nørrebro,55.68673,12.55759,Entire home/apt,1336.0,4,39,2025-08-05,0.75,1,43,10
49454865,"Tæt på byen, naturen & havet. Gratis parkering",6588422,Julie,Amager Vest,55.63521,12.592,Entire home/apt,816.0,3,35,2024-10-20,0.69,1,146,1
49463771,Exclusive penthouse in the heart of the city,9045677,August Dod,Vesterbro-Kongens Enghave,55.66464,12.55384,Entire home/apt,2235.0,1,14,2025-05-25,0.28,1,191,3
49508878,Harbour front and with rooftop terrace and balcony,2347661,Morten,Østerbro,55.69442,12.59746,Entire home/apt,825.0,3,111,2025-08-30,2.14,1,109,30
49541948,Light apartment in cosy area in Copenhagen,50123919,Sille,Østerbro,55.70906813727469,12.568735988367498,Entire home/apt,1306.0,2,2,2025-09-14,1.46,1,12,2
49569151,Spacious Nørrebro apartment close to the lakes,399869989,Emma,Nørrebro,55.68414,12.55552,Entire home/apt,1530.0,4,35,2025-09-26,0.69,1,89,18
49576800,Centralt beliggende lejlighed på Vesterbro,175084269,Karin,Vesterbro-Kongens Enghave,55.66531,12.54797,Entire home/apt,2283.0,8,14,2025-08-22,0.28,1,352,3
